Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,"CarCovers.com, LLC","671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S23004847233,919,01-02-2023,998314,USD,3803,0,0,25,310712.706
2.0211E+13,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S23004847234,920,01-02-2023,998314,USD,1275,0,0,25,105000.7125
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23004847235,921,01-02-2023,998314,EUR,7775,0,0,25,700668.2275
2.02004E+13,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S23004847236,922,01-02-2023,998314,USD,1585,0,0,25,129349.4725
2.02202E+13,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S23004847237,923,01-02-2023,998314,USD,650,0,0,25,53698.775
2.02007E+13,01-07-2020,MARK S BROWN ,PO BOX 851351 Mobile AL 36685,US,3,907,,S23004847238,924,01-02-2023,998314,USD,1125,0,0,,91914.75
2.02203E+13,31-03-2022,Pronko Consulting Limited,"Block B, The Crescent Building, Dublin, D09 C6X6, Ireland.",IE,3,907,,S23004847239,925,01-02-2023,998314,USD,4949,0,0,,408007.9325
2.02301E+13,03-01-2023,CFO Consulting,"Street 686, Zone 51, Building 8, Doha, Qatar ",QA,3,907,,S23004847240,926,13-02-2023,998314,USD,6370,0,0,25,527012.395
2.02105E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23004847241,927,15-02-2023,998314,EUR,9025,0,0,25,787598.2125
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S23004847242,928,28-02-2023,998314,USD,17530,,,,1448179.595
