Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
2.02E+13,08-06-2018,CABOODLENOW PTY LTD,20 EDRO AVE BRIGHTON EAST VIC 3187 AUSTRALIA ,AU,3,907,,S22003896964,826,01-06-2022,998314,USD,5000,0,0,0,388400
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,Surge Marketing Inc.,"671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S22003896965,827,01-06-2022,998314,USD,3829,0,0,25,296288.02
STPIN/NAPP/20171220/930032/Contract/016,01-12-2018,My Germany GmBH,78 Duxton Road Singapore,SG,3,907,,S22003896966,828,01-06-2022,998314,EUR,10290,0,0,10,843265.5
2.02E+13,13-10-2021,FASHION LINK TRADING PTE. LTD.,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22003896967,829,01-06-2022,998314,USD,1275,0,0,25,98927.25
2.02E+13,15-05-2021,SimplyVision GmBH,"Nordstr. 5, D-99427, Weimar Germany",DE,3,907,,S22003896968,830,01-06-2022,998314,EUR,10275,0,0,25,850872.75
2.02E+13,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S22003896969,831,01-06-2022,998314,USD,1025,0,0,25,79560.5
2.02E+12,08-10-2019,Nature’s Source Project,"Unit 106, 4255 Sherwoodtowne Blvd, Mississauga, ON L4Z 2G6",US,3,907,,S22003896970,832,01-06-2022,998314,USD,1275,0,0,25,98927.25
2.02E+13,27-04-2020,Sessions Cannabis Franchises Inc,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S22003896971,833,01-06-2022,998314,USD,650,0,0,25,50297
2.02E+13,01-07-2020,Eye Plastics LLC,PO BOX 851351 Mobile AL 36685,US,3,907,,S22003896972,834,01-06-2022,998314,USD,1500,0,0,0,116520
2.02E+13,31-03-2022,Pronko Consulting,"Kauno G. 3A, LT01310 Vilnius, Lithuania",LT,3,907,,S22003896973,835,01-06-2022,998314,USD,6216,0,0,0,490504.56
2.02E+13,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S22003896974,836,15-06-2022,998314,EUR,10275,0,0,25,844707.75
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,Upwork Global Inc.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S22003896975,837,30-06-2022,998314,USD,26333,0,0,0,2078990.35
