Contract No.,Contract Date (dd/mm/yyyy) *,Client Name *,Client Address *,Country Code *,Mode Of Realization *,Software Type *,Software Category,Softex No. *,Invoice No. *,Invoice Date (dd/mm/yyyy) *,HSN/SAC Code,Currency Code *,Export Value *,Commission Amount ,Deduction Amount ,Transmission Amount ,Export Value (INR) *
STPIN/NAPP/20171220/930032/Contract/021,28-12-2018,"CarCovers.com, LLC","671 willow pass rd #1, Pittsburg, CA 94565",US,3,907,,S23005179497,1112,01-05-2023,998314,USD,7865,0,0,25,644458.1
20211013247674,13-10-2021,FASHION LINK TRADING PTE. LTD.,78 Duxton Road Singapore,SG,3,907,,S23005179498,1113,01-05-2023,998314,USD,1275,0,0,25,104473.5
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23005179499,1114,01-05-2023,998314,EUR,8075,0,0,25,729980
20200427137403,27-04-2020,The Critical Thinking Co.,"1991 Sherman Ave. Suite 200, North Bend,OR 97459-3469, USA",US,3,907,,S23005179500,1115,01-05-2023,998314,USD,1445,0,0,25,118403.3
20220201281442,27-04-2020,Sessions Cannabis Franchises Inc.,"3027 Binbrook Road W Bldg B, PO Box 21037, Binbrook, Ontario",CA,3,907,,S23005179501,1116,01-05-2023,998314,USD,650,0,0,25,53261
20200703140963,01-07-2020,MARK S BROWN ,PO BOX 851351 Mobile AL 36685,US,3,907,,S23005179502,1117,01-05-2023,998314,USD,1125,0,0,,92182.5
20220331295998,31-03-2022,Pronko Consulting Limited,"Block B, The Crescent Building, Dublin, D09 C6X6, Ireland.",IE,3,907,,S23005179503,1118,01-05-2023,998314,USD,3957.5,0,0,,324277.55
20230103350205,03-01-2023,CFO Consulting,"Street 686, Zone 51, Building 8, Doha, Qatar ",QA,3,907,,S23005179504,1119,01-05-2023,998314,USD,7868,0,0,25,643366.36
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S23005179505,1120,15-05-2023,998314,USD,47223,0,0,,3867563.7
20210515211746,15-05-2021,SimplyVision GmBH,"Sonnenbergstr. 18, CH-6060 Sarnen, SWITZERLAND",CH,3,907,,S23005179506,1121,15-05-2023,998314,EUR,9075,0,0,25,811032.75
STPIN/NAPP/20171220/930032/Contract/001,12-09-2016,UPWORK ESCROW INC.,"441 LOGUE AVE, MOUNTAIN VIEW CA 94043-4018",US,3,907,,S23005179507,1122,31-05-2023,998314,USD,30131.31,0,0,,2482819.944
